ShipmentID,OrderID,ShipmentDate,Status,Carrier
1,4427,1/2/2023 0:00,Shipped,UPS
2,12581,1/2/2023 1:00,In Transit,UPS
3,13290,1/2/2023 2:00,In Transit,FedEx
4,19594,1/2/2023 3:00,In Transit,UPS
5,7163,1/2/2023 4:00,Delivered,DHL
6,2333,1/2/2023 5:00,Shipped,DHL
7,9913,1/2/2023 6:00,Shipped,DHL
8,8147,1/2/2023 7:00,In Transit,UPS
9,14267,1/2/2023 8:00,In Transit,USPS
10,9858,1/2/2023 9:00,Delivered,UPS
11,18070,1/2/2023 10:00,Delivered,UPS
12,767,1/2/2023 11:00,In Transit,FedEx
13,18952,1/2/2023 12:00,Delayed,UPS
14,7081,1/2/2023 13:00,Shipped,
15,228,1/2/2023 14:00,Delayed,UPS
16,18825,1/2/2023 15:00,In Transit,FedEx
17,437,1/2/2023 16:00,In Transit,UPS
18,9756,1/2/2023 17:00,Delayed,DHL
19,6023,1/2/2023 18:00,Delivered,DHL
20,959,1/2/2023 19:00,In Transit,USPS
21,13166,1/2/2023 20:00,Delayed,DHL
22,12754,1/2/2023 21:00,Delayed,DHL
23,9577,1/2/2023 22:00,Shipped,FedEx
24,17440,1/2/2023 23:00,Delivered,USPS
25,6913,1/3/2023 0:00,Delayed,USPS
26,14231,1/3/2023 1:00,In Transit,DHL
27,19979,1/3/2023 2:00,In Transit,USPS
28,10551,1/3/2023 3:00,Delayed,UPS
29,4153,1/3/2023 4:00,Delayed,UPS
30,8261,1/3/2023 5:00,Delivered,FedEx
31,2147,1/3/2023 6:00,In Transit,DHL
32,14910,1/3/2023 7:00,In Transit,UPS
33,9045,1/3/2023 8:00,In Transit,UPS
34,9310,1/3/2023 9:00,Delivered,DHL
35,854,1/3/2023 10:00,Delivered,DHL
36,2502,1/3/2023 11:00,Delivered,DHL
37,10298,1/3/2023 12:00,Delivered,USPS
38,10596,1/3/2023 13:00,Delivered,DHL
39,7052,1/3/2023 14:00,In Transit,DHL
40,3783,1/3/2023 15:00,Delayed,UPS
41,4588,1/3/2023 16:00,Delayed,USPS
42,16086,1/3/2023 17:00,Delayed,USPS
43,6405,1/3/2023 18:00,Delivered,USPS
44,15051,1/3/2023 19:00,Shipped,USPS
45,6380,1/3/2023 20:00,Delayed,DHL
46,1224,1/3/2023 21:00,Shipped,DHL
47,16717,1/3/2023 22:00,In Transit,
48,17555,1/3/2023 23:00,Shipped,UPS
49,18178,1/4/2023 0:00,Delayed,DHL
50,5998,1/4/2023 1:00,Delayed,UPS
51,14948,1/4/2023 2:00,Delivered,USPS
52,17487,1/4/2023 3:00,Delayed,FedEx
53,12155,1/4/2023 4:00,In Transit,USPS
54,3845,1/4/2023 5:00,Delayed,FedEx
55,6794,1/4/2023 6:00,Delayed,USPS
56,3164,1/4/2023 7:00,Delivered,FedEx
57,5682,1/4/2023 8:00,Shipped,FedEx
58,358,1/4/2023 9:00,Delayed,DHL
59,15052,1/4/2023 10:00,In Transit,UPS
60,15219,1/4/2023 11:00,In Transit,DHL
61,5232,1/4/2023 12:00,Delivered,DHL
62,7940,1/4/2023 13:00,Shipped,FedEx
63,19146,1/4/2023 14:00,In Transit,UPS
64,3577,1/4/2023 15:00,Shipped,FedEx
65,12260,1/4/2023 16:00,Delivered,FedEx
66,586,1/4/2023 17:00,Shipped,UPS
67,17205,1/4/2023 18:00,Delivered,FedEx
68,17443,1/4/2023 19:00,Delayed,UPS
69,19432,1/4/2023 20:00,In Transit,UPS
70,5524,1/4/2023 21:00,Delayed,UPS
71,1221,1/4/2023 22:00,Shipped,UPS
72,3640,1/4/2023 23:00,In Transit,FedEx
73,11939,1/5/2023 0:00,Delivered,DHL
74,9864,1/5/2023 1:00,Delayed,DHL
75,9950,1/5/2023 2:00,Delayed,FedEx
76,2277,1/5/2023 3:00,Shipped,FedEx
77,2418,1/5/2023 4:00,Shipped,FedEx
78,19166,1/5/2023 5:00,In Transit,UPS
79,17953,1/5/2023 6:00,Delivered,FedEx
80,15009,1/5/2023 7:00,In Transit,FedEx
81,14827,1/5/2023 8:00,In Transit,USPS
82,7486,1/5/2023 9:00,Delayed,DHL
83,19900,1/5/2023 10:00,In Transit,FedEx
84,4503,1/5/2023 11:00,Shipped,FedEx
85,18019,1/5/2023 12:00,Delayed,UPS
86,13624,1/5/2023 13:00,In Transit,USPS
87,6571,1/5/2023 14:00,Delivered,DHL
88,8953,1/5/2023 15:00,In Transit,UPS
89,2503,1/5/2023 16:00,In Transit,DHL
90,17862,1/5/2023 17:00,Delayed,FedEx
91,9949,1/5/2023 18:00,Delivered,FedEx
92,11197,1/5/2023 19:00,Shipped,UPS
93,18952,1/5/2023 20:00,Delayed,DHL
94,17725,1/5/2023 21:00,Shipped,UPS
95,1129,1/5/2023 22:00,Shipped,USPS
96,9400,1/5/2023 23:00,Delivered,UPS
97,13939,1/6/2023 0:00,Delayed,DHL
98,1366,1/6/2023 1:00,Delivered,USPS
99,5680,1/6/2023 2:00,In Transit,USPS
100,17941,1/6/2023 3:00,In Transit,DHL
101,14712,1/6/2023 4:00,Delivered,USPS
102,3766,1/6/2023 5:00,Shipped,USPS
103,19771,1/6/2023 6:00,In Transit,USPS
104,6169,1/6/2023 7:00,Shipped,UPS
105,14397,1/6/2023 8:00,Delivered,UPS
106,9534,1/6/2023 9:00,Delayed,UPS
107,18171,1/6/2023 10:00,Delayed,DHL
108,2377,1/6/2023 11:00,Delayed,USPS
109,7705,1/6/2023 12:00,In Transit,USPS
110,9830,1/6/2023 13:00,Delayed,FedEx
111,904,1/6/2023 14:00,Shipped,USPS
112,13671,1/6/2023 15:00,In Transit,USPS
113,5415,1/6/2023 16:00,Delivered,UPS
114,3869,1/6/2023 17:00,In Transit,USPS
115,188,1/6/2023 18:00,Delivered,USPS
116,6062,1/6/2023 19:00,Delayed,USPS
117,12078,1/6/2023 20:00,In Transit,USPS
118,8631,1/6/2023 21:00,Delivered,UPS
119,10967,1/6/2023 22:00,Delayed,USPS
120,13933,1/6/2023 23:00,In Transit,FedEx
121,19187,1/7/2023 0:00,In Transit,UPS
122,16060,1/7/2023 1:00,Delivered,UPS
123,16873,1/7/2023 2:00,Delivered,USPS
124,2244,1/7/2023 3:00,Shipped,UPS
125,18732,1/7/2023 4:00,Delayed,USPS
126,10281,1/7/2023 5:00,Shipped,FedEx
127,7857,1/7/2023 6:00,Delivered,USPS
128,2441,1/7/2023 7:00,Shipped,
129,14167,1/7/2023 8:00,Delivered,USPS
130,2124,1/7/2023 9:00,Delivered,FedEx
131,10728,1/7/2023 10:00,Shipped,UPS
132,9346,1/7/2023 11:00,In Transit,UPS
133,14967,1/7/2023 12:00,In Transit,FedEx
134,8339,1/7/2023 13:00,In Transit,FedEx
135,13198,1/7/2023 14:00,Delivered,FedEx
136,5696,1/7/2023 15:00,Delayed,USPS
137,18486,1/7/2023 16:00,Delivered,UPS
138,11927,1/7/2023 17:00,Delivered,USPS
139,4613,1/7/2023 18:00,In Transit,UPS
140,16412,1/7/2023 19:00,In Transit,UPS
141,2227,1/7/2023 20:00,Delayed,UPS
142,12810,1/7/2023 21:00,Delivered,USPS
143,8843,1/7/2023 22:00,Delivered,UPS
144,1356,1/7/2023 23:00,Delayed,UPS
145,15611,1/8/2023 0:00,In Transit,DHL
146,7832,1/8/2023 1:00,Delivered,DHL
147,19269,1/8/2023 2:00,In Transit,FedEx
148,15021,1/8/2023 3:00,Shipped,USPS
149,19543,1/8/2023 4:00,Delivered,UPS
150,18696,1/8/2023 5:00,Delivered,USPS
151,562,1/8/2023 6:00,Delivered,FedEx
152,17070,1/8/2023 7:00,In Transit,FedEx
153,19114,1/8/2023 8:00,Shipped,FedEx
154,4546,1/8/2023 9:00,In Transit,USPS
155,642,1/8/2023 10:00,Delayed,FedEx
156,19453,1/8/2023 11:00,Delayed,FedEx
157,17583,1/8/2023 12:00,Shipped,UPS
158,3645,1/8/2023 13:00,Delayed,UPS
